instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt,lowest_energy_iteration,lowest_energy_prob_iteration
tai20_5_2.fsp,4,4,10,332,374.408203125,332.0,1.0,332.0,1.0
tai20_5_2.fsp,4,4,best,332,,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,1,332,332.30859375,332.0087890625,0.9990234375,,
tai20_5_2.fsp,5,4,2,332,365.0322265625,332.0,1.0,332.0,0.9990234375
tai20_5_2.fsp,5,4,3,332,367.0947265625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,4,332,368.0,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,5,332,368.7587890625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,6,332,369.494140625,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,5,4,7,332,371.947265625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,8,332,373.044921875,332.1064453125,0.9921875,332.0,1.0
tai20_5_2.fsp,5,4,9,332,373.228515625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,5,4,10,332,374.1728515625,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,5,4,best,332,,332.0,1.0,332.0,1.0
tai20_5_3.fsp,1,4,1,506,534.033203125,506.0,0.9990234375,,
tai20_5_3.fsp,1,4,2,506,539.4482421875,506.0,1.0,506.0,0.9990234375
tai20_5_3.fsp,1,4,3,506,546.3642578125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,4,506,547.705078125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,5,506,552.12890625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,6,506,555.7705078125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,7,506,557.90625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,8,506,558.810546875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,9,506,560.1328125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,1,4,10,506,562.30078125,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,1,4,best,506,,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,1,506,544.5576171875,506.0,1.0,,
tai20_5_3.fsp,2,4,2,506,550.3671875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,3,506,554.6376953125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,4,506,554.80859375,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,5,506,556.9013671875,506.0732421875,0.998046875,506.0,1.0
tai20_5_3.fsp,2,4,6,506,557.466796875,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,2,4,7,506,558.4267578125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,8,506,559.5224609375,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,2,4,9,506,561.7724609375,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,2,4,10,506,561.9052734375,506.0,1.0,506.0,1.0
tai20_5_3.fsp,2,4,best,506,,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,1,506,536.5009765625,506.0,1.0,,
tai20_5_3.fsp,3,4,2,506,540.4111328125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,3,506,550.3779296875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,4,506,552.7373046875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,5,506,557.076171875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,6,506,560.984375,506.0244140625,0.998046875,506.0,1.0
tai20_5_3.fsp,3,4,7,506,561.8740234375,506.0244140625,0.9990234375,506.0,1.0
tai20_5_3.fsp,3,4,8,506,564.9404296875,506.0458984375,0.9990234375,506.0,1.0
tai20_5_3.fsp,3,4,9,506,567.361328125,506.646484375,0.99609375,506.0,1.0
tai20_5_3.fsp,3,4,10,506,568.5732421875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,3,4,best,506,,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,1,506,513.3291015625,506.0,1.0,,
tai20_5_3.fsp,4,4,2,506,538.3251953125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,3,506,550.962890625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,4,506,551.4814453125,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,5,506,552.1416015625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,6,506,556.3525390625,506.0244140625,0.9970703125,506.0,1.0
tai20_5_3.fsp,4,4,7,506,556.5400390625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,8,506,556.884765625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,4,4,9,506,559.3955078125,506.0869140625,0.998046875,506.0,1.0
tai20_5_3.fsp,4,4,10,506,559.49609375,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,4,4,best,506,,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,1,506,548.712890625,506.048828125,1.0,,
tai20_5_3.fsp,5,4,2,506,558.208984375,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,3,506,559.771484375,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,5,4,4,506,562.4306640625,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,5,4,5,506,562.9443359375,506.0,0.9990234375,506.0,1.0
tai20_5_3.fsp,5,4,6,506,563.63671875,506.25390625,0.9951171875,506.0,1.0
tai20_5_3.fsp,5,4,7,506,567.513671875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,8,506,569.150390625,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,9,506,570.84375,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,10,506,570.857421875,506.0,1.0,506.0,1.0
tai20_5_3.fsp,5,4,best,506,,506.048828125,1.0,506.0,1.0
tai20_5_4.fsp,1,4,1,479,485.125,479.046875,1.0,,
tai20_5_4.fsp,1,4,2,479,498.6640625,485.0,0.0,479.0,1.0
tai20_5_4.fsp,1,4,3,479,501.080078125,485.02734375,0.005859375,479.0,1.0
tai20_5_4.fsp,1,4,4,479,501.29296875,479.017578125,0.998046875,479.0,1.0
tai20_5_4.fsp,1,4,5,479,502.509765625,482.251953125,0.4853515625,479.0,1.0
tai20_5_4.fsp,1,4,6,479,503.3828125,479.029296875,0.9990234375,479.0,1.0
tai20_5_4.fsp,1,4,7,479,504.33203125,481.919921875,0.54296875,479.0,1.0
tai20_5_4.fsp,1,4,8,479,506.533203125,479.0,1.0,479.0,1.0
tai20_5_4.fsp,1,4,9,479,510.361328125,479.005859375,0.9970703125,479.0,1.0
tai20_5_4.fsp,1,4,10,479,511.544921875,482.0234375,0.5283203125,479.0,1.0
tai20_5_4.fsp,1,4,best,479,,479.046875,1.0,479.0,1.0
tai20_5_4.fsp,2,4,1,479,485.09765625,479.09375,0.998046875,,
tai20_5_4.fsp,2,4,2,479,499.158203125,479.0,1.0,479.0,0.998046875
tai20_5_4.fsp,2,4,3,479,502.810546875,485.0,0.0,479.0,1.0
tai20_5_4.fsp,2,4,4,479,503.685546875,481.201171875,0.6279296875,479.0,1.0
tai20_5_4.fsp,2,4,5,479,503.884765625,485.0,0.0,479.0,1.0
tai20_5_4.fsp,2,4,6,479,505.548828125,479.0,1.0,479.0,1.0
tai20_5_4.fsp,2,4,7,479,505.904296875,481.63671875,0.638671875,479.0,1.0
tai20_5_4.fsp,2,4,8,479,506.36328125,480.904296875,0.755859375,479.0,1.0
tai20_5_4.fsp,2,4,9,479,507.318359375,479.12890625,0.9755859375,479.0,1.0
tai20_5_4.fsp,2,4,10,479,508.611328125,479.0,0.9990234375,479.0,1.0
tai20_5_4.fsp,2,4,best,479,,479.0,1.0,479.0,1.0
